step,memory_mb,time_ms,flops,total_flops,tokens_processed
1,0.0,1.116037368774414,1048,1048,1
2,10.984375,4.321098327636719,4192,5240,2
3,0.0,2.145051956176758,9432,14672,3
4,0.0,2.5360584259033203,16768,31440,4
5,0.0,2.3729801177978516,26200,57640,5
6,0.0,2.031087875366211,37728,95368,6
7,0.0,2.1409988403320312,51352,146720,7
8,4.328125,2.4352073669433594,67072,213792,8
9,1.140625,2.2058486938476562,84888,298680,9
10,0.0,1.985788345336914,104800,403480,10
11,0.109375,1.9688606262207031,126808,530288,11
12,0.0,2.310037612915039,150912,681200,12
13,0.0,2.1758079528808594,177112,858312,13
14,0.015625,2.0627975463867188,205408,1063720,14
15,0.0,1.9938945770263672,235800,1299520,15
16,0.0,1.9829273223876953,268288,1567808,16
17,0.0,2.0999908447265625,302872,1870680,17
18,0.0,2.2459030151367188,339552,2210232,18
19,0.0,2.1758079528808594,378328,2588560,19
20,0.0,2.177000045776367,419200,3007760,20
21,0.0,2.1119117736816406,462168,3469928,21
22,0.0,2.1049976348876953,507232,3977160,22
23,0.0,2.2439956665039062,554392,4531552,23
24,0.0,2.193927764892578,603648,5135200,24
25,0.0,2.2420883178710938,655000,5790200,25
26,0.0,2.066373825073242,708448,6498648,26
27,0.0,2.305746078491211,763992,7262640,27
28,0.0,2.2058486938476562,821632,8084272,28
29,0.0,2.2149085998535156,881368,8965640,29
30,0.0,3.0698776245117188,943200,9908840,30
31,0.0625,2.259969711303711,1007128,10915968,31
32,1.03125,2.262592315673828,1073152,11989120,32
33,0.125,2.7360916137695312,1141272,13130392,33
34,0.0,2.4628639221191406,1211488,14341880,34
35,0.078125,2.499103546142578,1283800,15625680,35
36,0.0,2.856016159057617,1358208,16983888,36
37,0.078125,2.666950225830078,1434712,18418600,37
38,0.0,2.5780200958251953,1513312,19931912,38
39,0.078125,2.5849342346191406,1594008,21525920,39
40,0.0,2.565145492553711,1676800,23202720,40
41,0.078125,2.5899410247802734,1761688,24964408,41
42,0.546875,2.892017364501953,1848672,26813080,42
43,1.96875,2.7561187744140625,1937752,28750832,43
44,1.6875,2.7320384979248047,2028928,30779760,44
45,0.3125,2.7108192443847656,2122200,32901960,45
46,0.0,2.7320384979248047,2217568,35119528,46
47,0.296875,2.7420520782470703,2315032,37434560,47
48,0.0,2.9401779174804688,2414592,39849152,48
49,0.3125,2.7811527252197266,2516248,42365400,49
50,0.0,2.7811527252197266,2620000,44985400,50
